address1,address2,link,price
171 Rue d'Ambre,"CANDIAC, QC",/ListingDetails/171-Rue-d'Ambre-Candiac-QC-J5R1J3/11649917,"$830,000"
534 Rue Richelieu,"Saint-Marc-sur-Richelieu, QC",/ListingDetails/534-Rue-Richelieu-Saint-Marc-sur-Richelieu-QC-J0L2E0/19484252,"$875,000"
1211 Rue Drummond #2305,"Ville-Marie (Montréal), QC",/ListingDetails/1211-Rue-Drummond-2305-Montréal-(Ville-Marie)-QC-H3G1V8/26609792,"$999,000"
299 Rue de la Rotonde #204,"Montréal (Verdun/Île-des-Soeurs), QC",/ListingDetails/299-Rue-de-la-Rotonde-204-Montréal-(Verdun-Île-des-Sœurs)-QC-H3E0C6/11505858,"$799,000"
1316 Rg Double,"Rougemont, QC",/ListingDetails/1316-Rg-Double-Rougemont-QC-J0L1M0/14000204,"$750,000"
1800 Boul. Angrignon #1201A,"LaSalle (Montréal), QC",/ListingDetails/1800-Boul-Angrignon-1201A-Montréal-(LaSalle)-QC-H8N0B8/24337361,"$1,069,000"
3871 Rue de la Colonelle,"LONGUEUIL (SAINT-HUBERT), QC",/ListingDetails/3871-Rue-de-la-Colonelle-Longueuil-(Saint-Hubert)-QC-J3Y0M4/19125692,"$918,000"
146 Ch. Haendel,"CANDIAC, QC",/ListingDetails/146-Ch-Haendel-Candiac-QC-J5R1S2/16736220,"$739,000"
200 Av. Lansdowne #103,"Westmount, QC",/ListingDetails/200-Av-Lansdowne-103-Westmount-QC-H3Z3E1/10180022,"$895,000"
169 Rue d'Ambre,"CANDIAC, QC",/ListingDetails/169-Rue-d'Ambre-Candiac-QC-J5R0S2/22819572,"$650,000"
165 33e Avenue,"Saint-Blaise-sur-Richelieu, QC",/ListingDetails/165-33e-Avenue-Saint-Blaise-sur-Richelieu-QC-J0J1W0/14612570,"$689,000"
159 Rue de la Blanche-Herbe,"Boucherville, QC",/ListingDetails/159-Rue-de-la-Blanche-Herbe-Boucherville-QC-J4B8S1/18460754,"$699,000"
789 Av. Querbes #405,"Outremont (Montréal), QC",/ListingDetails/789-Av-Querbes-405-Montréal-(Outremont)-QC-H2V3X3/28171366,"$676,500"
1550 Rue des Bassins #614,"Le Sud-Ouest (Montréal), QC",/ListingDetails/1550-Rue-des-Bassins-614-Montréal-(Le-Sud-Ouest)-QC-H3C0W5/26626849,"$725,000"
Rue Non Disponible-Unavailable,"Saint-Jean-sur-Richelieu, QC",/ListingDetails/Rue-Non-Disponible-Unavailable-Terrebonne-(Terrebonne)-QC-H1N1N1/22460527,"$599,000"
738 Rue St-Paul O. #833,"Montréal (Ville-Marie), QC",/ListingDetails/738-Rue-St-Paul-O-833-Montréal-(Ville-Marie)-QC-H3C0N5/11561165,"$619,000"
7986-7988 12e Avenue,"MONTRÉAL (VILLERAY/SAINT-MICHEL/PARC-EXTENSION), QC",/ListingDetails/7986-7988-12e-Avenue-Montréal-(Villeray-Saint-Michel-Parc-Extension)-QC-H1Z3H7/26075505,"$640,000"
10856 Rue Basile-Routhier #341,Nouveau,/ListingDetails/10856-Rue-Basile-Routhier-341-Montréal-(Ahuntsic-Cartierville)-QC-H2C0B1/10198367,"$792,500"
2365 Rue St-Patrick #A508,Nouveau,/ListingDetails/2365-Rue-St-Patrick-A508-Montréal-(Le-Sud-Ouest)-QC-H3K1B3/15302309,"$549,000"
200 Boul. Marcel-Laurin #PH-702,"Saint-Laurent (Montréal), QC",/ListingDetails/200-Boul-Marcel-Laurin-PH-702-Montréal-(Saint-Laurent)-QC-H4M2L4/23190519,"$578,400"
352 Rue Josianne,"Saint-Zotique, QC",/ListingDetails/352-Rue-Josianne-Saint-Zotique-QC-J0P1X0/12763805,"$529,000"
170 Rue Principale #417,"Saint-Zotique, QC",/ListingDetails/170-Rue-Principale-417-Saint-Zotique-QC-J0P1B0/22898187,"$494,890"
199 Rue de la Rotonde #2103,"Montréal (Verdun/Île-des-Sœurs), QC",/ListingDetails/199-Rue-de-la-Rotonde-2103-Montréal-(Verdun-Île-des-Sœurs)-QC-H3E0C1/20503753,"$849,000"
65 Rue De Castelnau O. #308,"MONTRÉAL (VILLERAY/SAINT-MICHEL/PARC-EXTENSION), QC",/ListingDetails/65-Rue-De-Castelnau-O-308-Montréal-(Villeray-Saint-Michel-Parc-Extension)-QC-H2R1P1/21790445,"$502,400"
258 Rue Ste-Marguerite #302,"Montréal (Le Sud-Ouest), QC",/ListingDetails/258-Rue-Ste-Marguerite-302-Montréal-(Le-Sud-Ouest)-QC-H4C2W6/23139097,"$595,000"
650 Rue Notre-Dame O. #303,"Ville-Marie (Montréal), QC",/ListingDetails/650-Rue-Notre-Dame-O-303-Montréal-(Ville-Marie)-QC-H3C1J2/28937306,"$424,800"
1451 Rue Parthenais #102,"Brossard, QC",/ListingDetails/1451-Rue-Parthenais-102-Montréal-(Ville-Marie)-QC-H2K0A2/12965585,"$399,000"
649 Rue Robert,"Contrecoeur, QC",/ListingDetails/649-Rue-Robert-Contrecoeur-QC-J0L1C0/15432552,"$459,000"
5905 Boul. du Quartier #908,"Brossard, QC",/ListingDetails/5905-Boul-du-Quartier-908-Brossard-QC-J3Z0P3/23184173,"$629,900"
